filepath,SAC,WAC,STC,WTC,SCC,WCC,Correct
Mutation_Detected\Rules\Mutated\SAC\SAC_3DPrinter_0_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_3DPrinter_0_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_3DPrinter_1_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_3DPrinter_1_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_2_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_2_5_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_2_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_4_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_4_5_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_4_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_5_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_5_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_5_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_6_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_6_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_demo_6_5_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_Escada_0_1_1.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_Escada_1_0_1.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_1_1.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_1_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_1_3.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_2_1.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_2_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_2_3.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_4_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_0_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_0_1.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_0_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_0_3.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_1.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_2.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_3.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_4.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_5.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_6.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_7.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_8.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_2_9.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_4_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_6_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_1_6_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_0_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_1.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_2.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_4.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_5.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_7.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_8.txt,1,1,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_4.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_6.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_3.txt,1,0,0,0,0,0,1
